id,name,description,price,imageUrls,category,keywords
5515,LOCTITE 263,"LOCTITE 263 is a high-strength, high-temperature anaerobic threadlocker designed to provide permanent locking and sealing of threaded fasteners. This liquid product is ideal for applications where high vibration and dynamic loads are present. It can withstand temperatures up to 300°F (149°C) and has a breakaway torque of up to 35 Nm. LOCTITE 263 is suitable for a wide range of materials, including steel, stainless steel, and aluminum. It also has excellent resistance to chemicals and fuels. Use LOCTITE 263 to ensure reliable and long-lasting connections. For best results, apply a small amount to the threaded area.

Keywords: LOCTITE 263 threadlocker liquid high strength high temperature anaer",,"https://ik.imagekit.io/manwar1/5515-2_76gKlULg3.jpg,https://ik.imagekit.io/manwar1/5515-1_VNmh-G6JF.jpg,https://ik.imagekit.io/manwar1/5515-3_yxugWDYvg.jpg",Industrial Chemicals,"LOCTITE 263, Bangladesh, adhesive, sealant, construction, electronics, industrial, repair, bonding agent, chemical"
5516,LOCTITE 680,"LOCTITE 680 is a green-colored, methacrylate-based high-performance bearing adhesive providing ultra-strong bearing and bushes fixture bond lines making difficult alignments super accurate having Low Cured-Shrink and extended adjust- after bonds sealing being shear fixture like those rotating compress taking hold many less so assembling sealing threaded LOCTITE just required mechanical shocks long this instantly its ready then these re us take best put wide you well running ideal less products choice take metal at then requiring various additional load resist solvent action than single help running additional operating run surface environment types ultra-effective small impact than re widelyLTRB any with choice easily design lower apply set tough giving assemble few few assemblies excellent variety uses highly varying quality metals suitable choose uses so effectively every manufacturing given process numerous lower chemicals",,"https://ik.imagekit.io/lord8131/5516-3_V5H9sU9sc.jpg,https://ik.imagekit.io/lord8131/5516-2_cCL7XHsJJ.jpg,https://ik.imagekit.io/lord8131/5516-1_e-OIPdTFp.jpg",Industrial Chemicals,"LOCTITE 680, adhesive sealant, construction sealant, Bangladesh, construction adhesive, silicone sealant, bonding agent, waterproof sealant, construction chemical, industrial sealant"
5517,LOCTITE AA 326,"LOCTITE AA 326 is a high-performance, medium-viscosity structural acrylic adhesive designed for bonding a wide range of materials including metals, plastics, and elastomers. This versatile adhesive is suitable for use in various industrial applications such as bonding dissimilar substrates, assembling and repairing mechanical parts, and securing threads and fasteners. Key features of LOCTITE AA 326 include its high bonding strength, good chemical resistance, and easy mixing. With a medium setting time of around 1-3 minutes, LOCTITE AA 326 offers sufficient time for proper positioning of components, while allowing for a rapid turnaround. LOCTITE AA 326 adhesive bonds • Industrial and construction uses.
Keywords: adhesive acrylic industrial LOCTITE structural strength metal bonding",,https://emg.trustglobal.eu.org/images/loctite.jpg,Industrial Chemicals,"Bangladeshi, e-commerce, adhesives, sealant, construction, hardware, tools, DIY, bonding, industrial"
5518,LOCTITE 401,"LOCTITE 401 is a clear, single-component anaerobic threadlocking adhesive that is widely used in the industry. It provides a flexible bond and seals threads, ensuring complete contact and providing maximum vibrational resistance. Suitable for most plastics, aluminum, copper and brass. Resistant to high temperature up to 120°C (248°F), high vibrations, shocks, fuels and lubricants. Works in oily conditions. To assemble use: Loosely attach part then position correctly before locking with LOCTITE 401, final cure typically 15 minutes but depend on activators or environment.

Benefits • Flexibility & resistant to vibrational & corrosive factors.
Keywords: Loctite 401 Threadlocking Anaerobic Adhesive Single component High",,"https://ik.imagekit.io/manwar1/5518-3_1GGDEq05O.jpg,https://ik.imagekit.io/manwar1/5518-2_iaq8xFSui.jpg,https://emg.trustglobal.eu.org/images/no-p.jpg",Industrial Chemicals,"LOCTITE 401 , adhesive sealant, Bangladesh, construction adhesive, sealant for leaks, waterproof sealant, bonding agent, thread sealant, electronic sealant, industrial adhesive"
5519,LOCTITE 402,"LOCTITE 402 is a high-strength, low-viscosity instant adhesive designed for bonding plastics, metals, and elastomers. It provides a strong, durable bond with excellent resistance to impact, vibration, and extreme temperatures. Ideal for applications where a low-odor, non-corrosive adhesive is required. LOCTITE 402 cures quickly at room temperature, making it perfect for high-volume production. It's also suitable for bonding porous surfaces and can be used on a variety of materials, including ABS, PVC, and steel. Key benefits include fast curing, high bonding strength, and low odor. 
Keywords: adhesive, instant adhesive, bonding plastics, metals, elastomers, epoxy, acrylic, cyanoacrylate, industrial",,"https://ik.imagekit.io/lord8131/5519-3_MZOMn46pMl.jpg,https://ik.imagekit.io/lord8131/5519-2_mLMd-QSNw.jpg,https://ik.imagekit.io/lord8131/5519-1_OXVTRVIZN.jpg",Industrial Chemicals,"LOCTITE BD, adhesive sealant, construction chemicals, Bangladeshi hardware, industrial adhesives, sealant products, building materials, LOCTITE products, construction chemicals BD, industrial adhesives BD"
5520,LOCTITE 242,"LOCTITE 242 is a high-strength, general-purpose threadlocker designed to prevent loosening from vibration.  This liquid anaerobic adhesive cures when confined between metal surfaces, creating a permanent bond that withstands even the toughest conditions. LOCTITE 242 is ideal for securing threaded fasteners in a wide range of applications, including automotive, industrial, and household repairs.  Easy to apply and reliable, it ensures secure connections and reduces maintenance downtime.

Keywords: LOCTITE, threadlocker, thread sealant, vibration proof, fasteners, metal, industrial, automotive, repair, adhesive",,https://emg.trustglobal.eu.org/images/loctite.jpg,Industrial Chemicals,"LOCTITE 242, adhesive, sealant, bonding agent, construction adhesive, electronics adhesive, waterproof sealant, industrial adhesive, chemical sealant, Bangladesh, import, manufacturer, distributor"
5521,LOCTITE HY 4070,"LOCTITE HY 4070 is a high-performance, anaerobic, thixotropic adhesive designed for demanding applications. It boasts exceptional strength and reliability, securing threaded fasteners and preventing loosening under extreme conditions. 

This versatile product is resistant to oil, fuel, and water, making it ideal for use in harsh environments.  LOCTITE HY 4070 cures when confined between close-fitting metal surfaces, forming a strong, permanent bond. Its low viscosity allows for easy application and penetration into threaded holes.  

Keywords: LOCTITE HY 4070, anaerobic adhesive, threaded fasteners, high strength, oil resistant, fuel resistant, water resistant, extreme conditions, thixotropic, permanent bond",,"https://ik.imagekit.io/manwar1/5521-1_Vqwq-b1Lb.jpg,https://ik.imagekit.io/manwar1/5521-2_bXkFzwTxl.jpg,https://emg.trustglobal.eu.org/images/no-p.jpg",Industrial Chemicals,"LOCTITE BD, adhesive sealant BD, construction adhesive BD, chemical sealant BD, waterproof sealant BD, construction adhesive for glass BD, LOCTITE sealant BD, bonding agent BD, adhesive for ceramics BD, industrial adhesive BD"
5522,LOCTITE 518,"LOCTITE 518 is a high-performance, general-purpose threadlocker designed for critical industrial applications. This anaerobic adhesive cures when confined between metal surfaces, forming a strong, permanent bond that resists vibration and loosening. LOCTITE 518 is suitable for a wide range of threads, including bolts, studs, and screws, in various industries such as automotive, aerospace, and manufacturing. It offers excellent corrosion protection and is resistant to chemicals and temperature extremes.

Keywords: LOCTITE 518, threadlocker, industrial applications, anaerobic adhesive, metal surfaces, thread sealant, vibration resistance, corrosion protection, chemical resistance, temperature resistance",,"https://ik.imagekit.io/lord8131/5522-2_jxQl9r4Pq.jpg,https://ik.imagekit.io/lord8131/5522-1_9RlZbfCo8.jpg,https://ik.imagekit.io/lord8131/5522-3_m-mWzAfzRp.jpg",Industrial Chemicals,"Bangladeshi, e-commerce, online shopping, electronics, gadgets, home appliances, , clothing, beauty products, accessories"
5523,LOCTITE 567,"Ditch the messy glue and embrace the power of LOCTITE 567, your go-to solution for permanent thread locking. This high-performance adhesive provides a rock-solid bond for nuts, bolts, and threaded fasteners, preventing loosening even under extreme vibration and temperature fluctuations. LOCTITE 567 is ideal for applications in automotive, industrial, and general maintenance settings where reliability is paramount.  

Simple to apply, LOCTITE 567 sets quickly and cures to a strong, permanent bond, ensuring your projects stay secure.

Keywords: LOCTITE 567, thread locker, permanent bond, nuts, bolts, fasteners, vibration, temperature, automotive, industrial, maintenance",,"https://ik.imagekit.io/manwar1/5523-1_kZK8vpY_B8.jpg,https://ik.imagekit.io/manwar1/5523-3_QbO0E923E.jpg,https://ik.imagekit.io/manwar1/5523-2_K4xjm3_wy.jpg",Industrial Chemicals,"LOCTITE 567 , adhesive sealant, Bangladesh, construction adhesive, sealant for leaks, waterproof sealant, bonding agent, thread sealant, electronic sealant, industrial adhesive"
5524,LOCTITE 515,"LOCTITE 515 is a premium threadlocker designed to permanently bond threaded fasteners, preventing loosening due to vibration or shock. This high-strength, medium viscosity formula cures quickly at room temperature, providing a reliable and secure hold. Ideal for use on a wide range of materials, including metal, plastic, and glass, LOCTITE 515 is essential for any workshop, garage, or industrial setting. Its durable bond ensures long-lasting performance and eliminates the need for frequent retightening. 

Keywords: LOCTITE 515, threadlocker, fasteners, vibration, shock, thread sealant, high strength, medium viscosity, metal, plastic, glass",,"https://ik.imagekit.io/lord8131/5524-1__CykHwukZ.jpg,https://ik.imagekit.io/lord8131/5524-3_A9_lwUy9P.jpg,https://ik.imagekit.io/lord8131/5524-2_rRYhjQJfQ.jpg",Industrial Chemicals,"LOCTITE 515, adhesive sealant, Bangladesh, construction adhesive, bonding agent, sealant for glass, waterproof sealant, gasket sealant, construction chemical, industrial adhesive"
